decision logAST debtRatio debtRatio2 ProfibilityRatio VentureDummy underwriterRating logRevenue DebtPaymentDummy logMarket NASDAQ30dayReturn logNumIPOS
1 5.400874 0.2694043 0.02842960 0.1087545 0 8.75 6.40589 1 17.21671 0.009301138 2.70805
1 3.359507 0.1772372 0.04170287 0.1042572 0 8.88 2.493205 0 16.62341 0.0375 2.70805
1 3.065725 0.00932401 0.07459207 0.1351981 0 7.63 3.543854 1 16.04013 0.0272 2.70805
1 3.157000 0.03829787 0.05957447 0.09361702 0 5.63 4.000034 0 15.65606 0.1128 2.564949
1 3.346389 0.4647887 0.02464789 0.06690141 0 3.33 2.424803 0 15.89495 0.1108196 2.564949
1 5.051137 1.587708 0.03777209 0.08002561 0 8.88 4.85203 1 17.50439 0.037 2.564949
1 4.515245 0.03938731 0.1367615 0.2549234 0 8.75 4.933034 1 17.37656 0.0156 2.833213
1 2.905534 0.005471956 0.09302326 0.1313269 0 5.5 3.025291 0 16.13544 0.0011 2.833213
1 4.07244 0.06303237 0.01703578 0.04429302 0 8.83 4.058717 0 17.35647 -0.0054 2.833213
1 4.054347 0.04163233 0.0711219 0.1335704 0 7.88 3.7281 1 16.61568 0.085 2.833213
1 2.908266 0.09276944 0.07094134 0.1255116 0 8.88 2.541602 1 16.18809 0.0143 2.833213
1 4.670021 0.4029991 0.0393627 0.1265230 0 8.88 4.872905 1 16.80119 0.0156 2.833213
1 1.470176 0.04597701 0.04597701 0.09195402 0 0 1.360977 0 14.99417 0.0367 2.833213
1 2.476538 0.1008403 0.01680672 0.05882353 0 0 2.140066 0 15.52026 -0.0054 2.833213
1 2.163323 0.01149425 -0.04597701 -0.02298851 0 4.5 1.609438 0 15.42495 -0.0314 3.135494
1 3.632309 0.3068783 0.04497354 0.1058201 0 5.13 3.747148 0 16.30042 -0.0087 3.135494
1 3.601413 0.04638472 0.01637108 0.04638472 0 8.88 3.586293 1 16.65166 0.0214 3.135494
1 3.493473 0.01823708 0.003039514 0.003039514 0 0 1.458615 0 17.21671 -0.0282 3.135494
1 3.417727 0.006557377 0.05901639 0.09508197 0 5.67 3.104587 0 16.06680 -0.125 2.564949
1 4.865224 0.1156515 0.09020817 0.1842714 0 9 5.603225 0 16.99356 -0.0993 2.564949
1 3.870159 0.1626694 0.09176225 0.1459854 0 9 3.583519 0 16.82367 -0.1476 2.564949
1 4.809742 0.2738386 -0.03911980 0.007334963 0 9 4.191169 0 17.5997 -0.1132 2.397895
1 3.960813 0.1276190 0.05333333 0.1009524 0 5.75 3.637586 1 16.67771 -0.0486 2.397895
1 3.348148 0.2038664 0.0456942 0.1195079 0 6 3.608212 1 16.19968 -0.0458 2.197225
1 1.722767 0.1607142 0.07142855 0.1428571 0 0 1.704748 0 14.73180 0.0713 2.079442
1 3.529297 0.1436950 0.1671554 0.2023460 0 5.88 3.580737 1 16.45457 0.049 2.079442
1 3.306887 0.1062271 0.03296703 0.04395604 0 8.88 2.00148 0 16.92903 0.0266 2.302585
1 3.015535 0.004901961 0.06372549 0.1029412 0 7.88 2.714695 0 16.30042 0.0184 2.302585
1 3.311455 0.1458523 0.06927985 0.1093892 0 7.38 3.277145 0 16.07987 0.0312 3.091042
1 3.951244 0.1384615 0.03846154 0.07884615 0 8.75 4.300003 1 16.88820 4e-04 3.091042
1 5.422612 0.5899236 0.01192211 0.02516890 0 8.83 4.215086 0 17.01704 0.0268 3.091042
1 2.714695 0.1390728 0.06622517 0.1390728 0 6.5 2.839078 0 15.42495 0.0368 3.091042
1 6.222775 0.3596509 0.05256893 0.1325134 0 8.88 6.342473 1 18.52053 0.0185 3.091042
1 5.053056 0.2261981 0.03322684 0.1137380 0 8.63 4.982921 1 17.47907 -0.0082 3.091042
1 3.294911 0.003707136 0.06672845 0.1186284 0 6 3.941582 1 16.20198 0.0109 3.091042
1 5.184645 0.3635651 -0.01232424 0.07898717 0 7.75 5.612398 1 17.68275 0.0049 3.091042
1 5.528238 0.1283274 0.06674613 0.1501788 0 9 6.323104 1 17.90986 0.0054 3.091042
1 4.766438 0.07148936 0.04851064 0.07744681 0 9 4.445001 1 17.76675 0.004 3.091042
1 5.52306 0.4041534 0.02955272 0.1038339 0 9 4.784989 1 17.21671 0.0049 3.091042
1 7.131699 0.8322142 0.01782574 0.06506795 0 8.75 5.434159 0 18.25344 -0.0321 3.433987
1 3.78646 0.02267574 0.0521542 0.08163265 0 5.17 3.310543 0 17.12240 -0.0321 3.433987
1 2.122262 0.2634731 0.02395210 0.05988024 0 0 3.310543 0 14.82711 -0.0066 3.433987
1 4.619073 0.1568047 0.02366864 0.0581854 0 8.75 4.740575 1 17.31202 0.003 3.433987
1 4.312141 0.06300268 0.0536193 0.09919571 0 8.75 5.154447 0 17.31202 -0.0135 3.433987
1 4.418841 0.09759036 0.09638554 0.1963855 0 7.88 4.859037 0 17.08887 0.0028 3.433987
1 4.074142 0.2585034 0.04931973 0.1122449 0 5.88 3.475067 1 16.70588 -0.04397153 3.433987
1 4.001864 0.0786106 0.04936015 0.09323583 0 8.63 4.22391 1 16.86003 0.0047 3.433987
1 4.835488 0.05242256 0.03891978 0.09849087 0 8.63 5.381739 1 17.63322 0.0364 3.178054
1 4.063885 0.2628866 -0.01718213 0.01890034 0 3.33 3.627004 1 16.61887 -0.002 3.178054
1 3.675288 0.4865687 -0.01013685 0.1089711 0 4.5 3.186353 1 15.6965 -0.0061 3.178054
1 5.346155 0.01429933 0.006196378 0.0042898 0 8.75 6.421785 0 18.19754 0 3.178054
1 5.56968 0.3948923 0.007623404 0.06975415 0 8.75 6.714656 1 17.36081 0.0364 3.178054
1 3.94956 0.05778955 0.07897905 0.1309896 0 8.75 3.484312 0 17.36836 -0.0213 3.178054
1 5.240158 0.1822999 0.07525172 0.1261261 0 7 5.125154 0 17.62217 0.0328 2.484907
1 4.424847 0.05508982 0.09101796 0.1377246 0 9 3.925926 0 17.65496 0.0328 2.484907
1 4.530447 0.007543103 0.04849138 0.07974138 0 8.88 4.420045 1 17.43985 0.0314 2.484907
1 2.862201 0.02857143 0.01714286 0.04 0 5.5 3.94739 0 15.84366 -0.0252 3.135494
1 6.76185 0.2498149 0.0188605 0.0525317 0 8.88 6.044768 0 19.04737 -0.0252 3.135494
1 1.452784 0.1169591 -0.09356725 -0.07017544 0 1.5 -0.2231436 0 15.08948 0.0049 3.135494
1 1.757858 0.01724138 0.0862069 0.1379310 0 2 1.435085 0 15.20180 -0.0433 3.135494
1 2.731115 0.534202 0.02605863 0.0781759 0 0 1.223775 0 15.16358 -0.0318 3.135494
1 4.069027 0.1111111 0.06837607 0.0974359 0 9 3.725693 0 17.21671 0.0061 3.433987
1 5.770818 0.4208229 0.02587282 0.0888404 0 8.83 4.309456 1 18.06401 0.0166 3.433987
1 3.015535 0.1715686 0.08333333 0.1372549 0 5.63 3.148453 1 15.83041 0.0148 3.433987
1 3.688879 0.03 0.095 0.115 0 8.5 3.549617 0 16.95534 0.0177 3.433987
1 5.133443 0.03537736 0.03419811 0.07429245 0 9 5.742041 1 17.55318 -0.0081 3.433987
1 4.560173 0.3106695 0.00209205 0.08577406 0 8.83 5.378052 1 17.20666 0.0088 3.433987
1 4.070735 0.001706485 0.1262799 0.2269625 0 6 4.242765 0 16.52356 0.0024 3.433987
1 3.286534 0.3700935 0.05233645 0.1345794 0 6 2.753661 0 16.51351 0.0155 3.433987
1 4.338597 0.1187990 0.05221932 0.1070496 0 9 3.83298 1 17.55318 -0.0019 3.433987
1 4.53903 0.1623932 0.05448718 0.1228632 0 8.88 4.972587 0 16.99356 0.0086 3.433987
1 4.240607 0.06911447 0.0475162 0.08639309 0 8.75 4.178992 1 17.17415 0.0058 3.433987
1 3.723281 0.04347826 0.06038647 0.1135266 0 6.38 4.309456 0 16.64872 0.0166 3.433987
1 2.541602 0.2362205 0.007874016 0.04724409 0 2 2.332144 1 15.20180 0.0148 3.433987
1 3.871201 0.1833333 0.0625 0.1645833 0 8.5 3.437208 1 16.86003 0.0148 3.433987
1 4.590057 0.03857868 0.05076142 0.1055838 0 8.88 5.180659 1 17.25593 0.0058 3.433987
1 3.226447 0.01587932 0.05557761 0.1071854 0 6.63 3.299534 1 16.11710 -0.0269 3.178054
1 4.772378 0.3595601 0.04399323 0.07106599 0 8.75 4.35927 1 17.04631 -0.016 3.178054
1 2.440171 0.1220044 -0.05228758 0.09586057 0 0 2.208274 1 15.29142 -0.0448 3.178054
1 2.272126 0.03092784 0.06185567 0.08247423 0 6.5 2.312535 0 15.42495 0.0905 3.044522
1 2.474435 0.1010526 0.05052632 0.09263158 0 0 1.824549 0 15.55158 -0.0204 3.044522
1 3.439632 0.003207649 0.05773768 0.1154754 0 8.75 3.206803 1 16.62945 0.0079 3.044522
1 4.83866 0.2834521 0.05225653 0.1306413 0 8.5 5.02913 0 17.64415 0.0885 3.044522
1 5.098035 0.3036042 0.03298717 0.08185706 0 8.63 5.426271 1 17.33004 0.0692 3.496508
1 5.761265 0.2649882 0.02706530 0.05696302 0 8.88 5.754792 0 18.51006 0.0692 3.496508
1 2.312535 0.01980198 0.00990099 0.03960396 0 0 1.791759 1 15.31959 0.0987 3.496508
1 4.622814 0.6641776 0.01080762 0.086461 0 7.38 3.597312 0 16.84468 0.0987 3.496508
1 3.577948 0.002793296 0.05586592 0.08659218 0 8.88 2.827314 0 17.07361 0.0819 3.496508
1 3.395179 0.01341382 0.04024145 0.1173709 0 6.63 3.468856 1 16.41226 0.097 3.496508
1 4.021774 0.04480287 0.04301075 0.08422939 0 7 4.034241 1 16.99356 -0.0169 3.367296
1 3.668677 0.005102041 0.08418367 0.1581633 0 8.75 3.974058 1 16.71693 -0.011 3.367296
1 3.811097 0.04424779 0.1747788 0.2477876 0 8.75 4.301359 1 16.61887 -0.0267 3.367296
1 3.627004 0.01595745 0.03457447 0.05851064 0 6 3.144152 1 16.95100 -0.0264 3.367296
1 5.053695 0.1998723 0.06832695 0.1309068 0 9 5.630853 0 17.51681 -0.0267 3.367296
1 5.828357 0.6030018 0.02530901 0.04120071 0 8.5 5.023881 0 17.71748 -0.0084 3.367296
1 4.637637 0.2458858 0.04453049 0.1093901 0 7.38 4.768139 0 17.51928 -0.0298 3.688879
1 3.033750 0.004813478 0.009626955 0.01444043 0 9 2.815409 0 16.54173 -0.0054 3.688879
1 4.093617 0.04670065 0.05337217 0.0934013 0 7.75 4.110874 0 17.60098 -0.019 3.688879
1 4.972587 0.01939058 0.02631579 0.02839335 0 7.38 5.675383 1 17.50439 -0.0054 3.688879
1 2.906901 0.005464481 0.1530055 0.2513661 0 0 2.667228 0 16.38046 -0.0151 3.688879
1 4.296605 0.1524847 0.06262764 0.1225323 0 8.75 4.893352 0 16.74670 -0.0389 3.688879
1 4.281515 0.04284727 -0.03317208 -0.04008293 0 8.88 3.370738 0 17.39206 -0.0077 3.688879
1 3.321432 0.03610108 0.02527076 0.07581227 0 5.63 3.996364 1 15.99026 -0.0258 3.688879
1 4.606669 0.4033949 0.1787319 0.1797304 0 8.75 4.048301 0 17.72853 -9e-04 3.688879
1 4.683981 0.3336414 0.03142329 0.08410351 0 8.75 5.113192 0 17.51681 -0.0213 3.688879
1 4.815561 0.193654 0.05347767 0.1304531 0 8.88 4.87596 1 17.57242 -0.0231 3.688879
1 3.935740 0.3144531 0.0390625 0.1132812 0 6.75 3.960813 1 16.34921 -0.0327 3.688879
1 4.177459 0.2392638 0.0398773 0.09969325 0 7.88 4.251348 0 16.86003 -0.0389 3.688879
1 5.716337 0.2952698 0.02468811 0.06945587 0 9 5.799093 1 18.46842 -0.0345 3.688879
1 6.046899 0.02932829 0.02034059 0.04966887 0 8.75 3.931826 0 17.18968 0.0131 4.248495
1 4.231204 0.1395349 0.08284884 0.09302326 0 8.75 2.906901 1 17.24303 0.0139 4.248495
1 4.894401 0.1130747 0.04867455 0.08686536 0 7.5 4.904534 1 18.01482 0.0173 4.248495
1 5.258016 0.6798542 0.01145237 0.02134305 0 8.75 3.00072 1 17.00599 0.017 4.248495
1 4.783316 0.3355649 0.02845188 0.09874477 0 8.5 5.371568 0 17.12240 0.0334 4.248495
1 3.363842 0.0934256 0.04152249 0.1003460 0 7.75 3.186353 1 16.61887 0.0083 4.248495
1 3.817712 0.1340659 -0.07472527 -0.05494505 0 7.38 3.068053 0 17.04235 0.017 4.248495
1 2.89453 0.06639004 0.02766252 0.04979253 0 6.25 3.144152 0 16.28995 0.0139 4.248495
1 2.332144 0.009708738 0.08737864 0.1359223 0 0 2.261763 0 15.68731 0.0144 4.248495
1 2.646175 0.1489362 0.07801418 0.1560284 0 0 2.714695 0 15.42495 0.009 4.248495
1 4.866765 0.0369515 0.06081601 0.1154734 0 9 5.417877 0 17.90986 0.0116 4.248495
1 4.312141 0.08847185 0.006702413 0.03887399 0 8.88 4.688592 1 16.90655 0.0209 4.248495
1 2.61007 0.01470588 0.05147059 0.08088235 0 0 1.526056 0 15.78959 0.0144 4.248495
1 2.021548 0.0397351 -0.0397351 0.1324503 0 0 1.774952 0 15.28569 0.0144 4.248495
1 3.261935 0.01149425 0.07662835 0.1264368 0 8 2.95491 0 16.52356 -0.0029 3.737670
1 3.414443 0.01644737 0.05921053 0.09868421 0 8.5 3.165475 0 16.70588 0.0073 3.737670
1 3.173878 0.01673640 0.0794979 0.1213389 0 7.88 2.549445 0 16.52356 0.0025 3.737670
1 4.956179 0.7046815 0.02393523 0.1084125 0 5.17 3.985273 1 15.78262 0.0043 3.737670
1 4.722064 0.2731317 0.04181495 0.1316726 0 0 4.850467 1 17.21671 -0.0045 3.332205
1 2.322388 0.07843137 0.06862745 0.1274510 0 6.5 2.014903 0 15.68731 -0.035 3.332205
1 3.778492 0.1234286 0.009142857 0.03885714 0 7.13 3.862833 1 16.57235 -0.0048 3.332205
1 4.241327 0.1741007 0.06618705 0.1323741 0 6 4.587006 0 17.26550 0.0107 3.637586
1 4.74616 0.1102993 0.07121685 0.1406967 0 8.75 5.000585 1 17.52030 0.0025 3.637586
1 2.240710 0.03191489 0.03191489 0.08510638 0 0 2.079442 0 15.20180 0.0513 3.637586
1 2.00148 0.3513514 0.06756757 0.1081081 0 0 2.631889 0 14.50866 0.0373 3.637586
1 4.35799 0.2522407 0.03713188 0.0793854 0 8.83 4.714025 1 16.63689 0.0189 3.637586
1 4.497585 0.0545657 0.01224944 0.06904232 0 7.5 4.289089 1 17.46617 0.0602 3.637586
1 5.009968 0.2588392 0.02001334 0.05070047 0 8.75 4.11578 1 18.00517 0.0012 3.637586
1 3.505557 0.02402402 0.03903904 0.1261261 0 7.38 4.421247 0 16.45457 0.0602 3.637586
1 2.251292 0.03157895 0.0631579 0.08421053 0 4 1.547563 1 15.42495 0.0513 3.637586
1 4.183576 0.1432927 -0.01524390 0.01676829 0 9 3.749504 0 16.75995 0.0216 3.637586
1 5.192957 0.2194444 0.04333333 0.09111111 0 8.75 4.950177 0 17.82647 0.022 2.484907
1 3.561046 0.3835227 -0.05397727 -0.03409091 0 1.5 0.9555114 1 16.64872 -0.0147 3.091042
